#front;back
臨時;りんじ<br><br>temporary, provisional
大抵;たいてい<br><br>generally, usually, in most cases
前兆;ぜんちょう<br><br>omen, sign
給油所;きゅうゆしょ<br><br>gas station, filling station
香港;ほんこん<br><br>hong kong
旬;しゅん<br><br>in season
終身刑;しゅうしんけい<br><br>life sentence
掲示;けいじ<br><br>notice, bulletin
払い;はらい<br><br>payment, a payment
削除;さくじょ<br><br>deletion, elimination
油絵;あぶらえ<br><br>oil painting
甘酢;あまず<br><br>sweet vinegar
恥ずかしがる;はずかしがる<br><br>to be shy, to be bashful
盛り上がる;もりあがる<br><br>to swell, to get excited
破れる;やぶれる<br><br>to get torn, to get broken, to get ripped
紹介状;しょうかいじょう<br><br>letter of introduction
味噌汁;みそしる<br><br>miso soup
跳ぶ;とぶ<br><br>to jump, to hop, to leap
昭和;しょうわ<br><br>showa era, shouwa era, showa, shouwa, showa emperor, shouwa emperor
漁師;りょうし<br><br>fisherman
漁船;ぎょせん<br><br>fishing boat, fishing vessel
刑務所;けいむしょ<br><br>jail, prison
刑罰;けいばつ<br><br>punishment, penalty
刑事;けいじ<br><br>police detective, detective, criminal case
募金;ぼきん<br><br>fundraising
募集;ぼしゅう<br><br>recruiting, solicitation
執る;とる<br><br>to take control, to carry out
執着;しゅうちゃく<br><br>attachment to, tenacity, obsessed with, attachment
塁打;るいだ<br><br>base hit, single
塁審;るいしん<br><br>baseball umpire, umpire
戻す;もどす<br><br>to return, to return something
反抗する;はんこうする<br><br>to rebel
上旬;じょうじゅん<br><br>first ten days of the month, beginning of month, beginning of the month
中旬;ちゅうじゅん<br><br>middle ten days of the month, middle of the month, middle of month
聴力;ちょうりょく<br><br>hearing ability
台湾;たいわん<br><br>taiwan
爆発;ばくはつ<br><br>explosion
爆笑;ばくしょう<br><br>explosive laughter
弾む;はずむ<br><br>to bounce
聴者;ちょうしゃ<br><br>listener
盗聴;とうちょう<br><br>wiretapping, bugging
奇跡;きせき<br><br>miracle
弾丸;だんがん<br><br>bullet
遣う;つかう<br><br>to consider, to make use of
一人暮らし;ひとりぐらし<br><br>living alone
〜鍋;なべ<br><br>pot, stew, hotpot
遅い;おそい<br><br>slow, late
償う;つぐなう<br><br>to compensate for, to make up for
闘う;たたかう<br><br>to struggle, to fight
陣;じん<br><br>army base, army camp
香り;かおり<br><br>fragrance, aroma
香水;こうすい<br><br>perfume
臨海;りんかい<br><br>seaside, coastal
契機;けいき<br><br>chance, opportunity
恵む;めぐむ<br><br>to do a favor, to bless
掲げる;かかげる<br><br>to put up a sign, to put up
紹介する;しょうかいする<br><br>to introduce
弾力;だんりょく<br><br>elasticity, flexibility
知恵;ちえ<br><br>wisdom, intelligence
香川県;かがわけん<br><br>kagawa prefecture
崩す;くずす<br><br>to demolish, to break, to pull down, to crumble
支払い;しはらい<br><br>payment
老齢;ろうれい<br><br>old age
夕刊;ゆうかん<br><br>evening edition
奈良県;ならけん<br><br>nara prefecture
避難;ひなん<br><br>evacuation
需要;じゅよう<br><br>demand
傾向;けいこう<br><br>tendency
刊行する;かんこうする<br><br>to publish
抑止;よくし<br><br>deter, stave off
緩やか;ゆるやか<br><br>loose, mild, gentle
抑圧;よくあつ<br><br>oppression
内緒;ないしょ<br><br>secret, confidential
描写;びょうしゃ<br><br>depiction
賄賂;わいろ<br><br>bribe
返還;へんかん<br><br>return, restoration
受託;じゅたく<br><br>be entrusted with
対称;たいしょう<br><br>symmetry
冷房;れいぼう<br><br>air conditioning
併殺;へいさつ<br><br>double play
奏楽;そうがく<br><br>musical performance, instrumental music
緩い;ゆるい<br><br>loose
一般的;いっぱんてき<br><br>ordinary, normal, common
逃げる;にげる<br><br>to escape, to flee, to run away
頼る;たよる<br><br>to rely on, to trust, to depend on
盤;ばん<br><br>tray
超す;こす<br><br>to exceed, to go over, to surpass
馬鹿らしい;ばからしい<br><br>absurd
頼み;たのみ<br><br>a favor, favor, a request, request
避妊;ひにん<br><br>birth control, contraception
舞踏会;ぶとうかい<br><br>ball, dance
基盤;きばん<br><br>base, basis, foundation
縄張り;なわばり<br><br>rope off, turf, territory, domain
円盤;えんばん<br><br>disk, flying saucer
描画;びょうが<br><br>drawing, painting
逃亡;とうぼう<br><br>escape, flight
傾く;かたむく<br><br>to be leaned, to be tilted
致す;いたす<br><br>to do
妊娠する;にんしんする<br><br>to be pregnant
奥;おく<br><br>far back, in the back
致命的;ちめいてき<br><br>fatal
一人称;いちにんしょう<br><br>first person
全般的;ぜんぱんてき<br><br>general, overall, across the board
遺伝子;いでんし<br><br>genes
宜しい;よろしい<br><br>good, okay, all right, fine
一緒;いっしょ<br><br>together
贈る;おくる<br><br>to give a present, to give
緩む;ゆるむ<br><br>to loosen
指摘する;してきする<br><br>to point out, to identify
踏み込む;ふみこむ<br><br>to step into, to rush into
伸ばす;のばす<br><br>to stretch something, to stretch
乗り換える;のりかえる<br><br>to transfer, to change trains, to transfer trains
仮称;かしょう<br><br>working name, tentative name
年齢;ねんれい<br><br>years old, age
明治維新;めいじいしん<br><br>meiji restoration
朝刊;ちょうかん<br><br>morning edition
演奏;えんそう<br><br>musical performance, performance
生還;せいかん<br><br>reaching home plate
還元;かんげん<br><br>return to origins, reduction
お見舞い;おみまい<br><br>sympathy visit
房;ふさ<br><br>cluster, tassel, tuft
維持する;いじする<br><br>to maintain
懸命;けんめい<br><br>eager, eagerness
懸ける;かける<br><br>to hang, to suspend, to stake
及ぼす;およぼす<br><br>to exert, to reach to
貿易会社;ぼうえきがいしゃ<br><br>trading firm
湯豆腐;ゆどうふ<br><br>boiled tofu
繰る;くる<br><br>to spin
抑制;よくせい<br><br>control, restrain
及び;および<br><br>as well as
廃止する;はいしする<br><br>to abolish
沖縄;おきなわ<br><br>okinawa
依頼人;いらいにん<br><br>client
却下;きゃっか<br><br>rejection, dismissal
必需品;ひつじゅひん<br><br>necessities, essentials
高齢者;こうれいしゃ<br><br>elderly person, old person
一致する;いっちする<br><br>to match
妊婦;にんぷ<br><br>pregnant woman
月刊;げっかん<br><br>monthly edition
日刊;にっかん<br><br>daily edition
伴う;ともなう<br><br>to accompany
同伴する;どうはんする<br><br>to accompany
併合;へいごう<br><br>merger
却って;かえって<br><br>on the contrary, instead
遠慮;えんりょ<br><br>restraint, decline
配慮;はいりょ<br><br>consideration, care
考慮;こうりょ<br><br>consideration
暖房;だんぼう<br><br>heating
扱う;あつかう<br><br>to handle, to treat
選択;せんたく<br><br>selection, choice
描く;かく, えがく<br><br>to draw, to sketch
贈収賄;ぞうしゅうわい<br><br>bribery
委託;いたく<br><br>consign, goods for sale, entrust
託す;たくす<br><br>to entrust
信託;しんたく<br><br>trust, entrusting
賄う;まかなう<br><br>to pay, to cover
奥さん;おくさん<br><br>wife
奥深い;おくぶかい, おくふかい<br><br>profound, deep
欠伸;あくび<br><br>yawn, yawning
避ける;さける, よける<br><br>to avoid, to dodge
降ろす;おろす<br><br>to take down, to launch, to drop, to lower, to bring down
馬鹿馬鹿しい;ばかばかしい<br><br>absurd, ridiculous, silly
奥底;おくそこ<br><br>depths, bottom
崩れる;くずれる<br><br>to crumble, to collapse
削除する;さくじょする<br><br>to delete, to eliminate
補充;ほじゅう<br><br>supplement
片手;かたて<br><br>one handed
枠;わく<br><br>frame, limit
掲載する;けいさいする<br><br>to publish, to print
慎む;つつしむ<br><br>to be discreet, to be careful
雇用;こよう<br><br>employment
仙人;せんにん<br><br>hermit, mountain man
仙台;せんだい<br><br>sendai
跳躍;ちょうやく<br><br>jump, leap, bound, skip
勧める;すすめる<br><br>to recommend
免れる;まぬかれる, まぬがれる<br><br>to escape from, to avoid
躍る;おどる<br><br>to leap, to jump, to bounce
小遣い;こづかい<br><br>allowance, spending money
稲;いね<br><br>rice plant
充実;じゅうじつ<br><br>fullness, beefing up
南極圏;なんきょくけん<br><br>antarctic circle, antarctica
片言;かたこと<br><br>broken japanese, broken english, broken language
棋院;きいん<br><br>shogi hall, go hall
雇う;やとう<br><br>to employ, to hire
解雇する;かいこする<br><br>to fire someone, to fire
御覧になる;ごらんになる<br><br>to look, to please look
戻り道;もどりみち<br><br>way back, the way back
鈴;すず<br><br>buzzer, small bell
御飯;ごはん<br><br>cooked rice, meal
水仙;すいせん<br><br>daffodil
呼び鈴;よびりん<br><br>doorbell
免状;めんじょう<br><br>diploma, license
鋼;はがね<br><br>steel
甲斐;かい<br><br>effect, result, worth
英語圏;えいごけん<br><br>english speaking world
