#front;back
旋律;せんりつ<br><br>melody, tune
楓糖;ふうとう, かえでとう<br><br>maple sugar
浴槽;よくそう<br><br>bathtub
定款;ていかん<br><br>articles of incorporation, company statute, articles of the company laws
約款;やっかん<br><br>agreement, stipulation, article, clause
胃腸;いちょう<br><br>stomach, gastrointestine
網膜;もうまく<br><br>retina
烏龍茶;うーろんちゃ, ウーロンちゃ<br><br>oolong tea, oolong
紺;こん<br><br>navy blue, deep blue, navy
濃紺;のうこん<br><br>dark blue
角膜;かくまく<br><br>cornea
大腸;だいちょう<br><br>large intestine, large bowel, colon
平衡;へいこう<br><br>balance, equilibrium
萌芽;ほうが<br><br>germination, sprout
烏賊;いか<br><br>squid, cuttlefish
山賊;さんぞく<br><br>bandit, brigand
盗賊;とうぞく<br><br>thief, robber
迎賓館;げいひんかん<br><br>reception hall, guest house
普遍;ふへん<br><br>universal, ubiquitous, omnipresent
一遍;いっぺん<br><br>once, one time
何遍;なんべん<br><br>how many times, how often
遍歴;へんれき<br><br>travels, pilgrimage, itinerancy
遮断;しゃだん<br><br>isolation, cut off, blockade, quarantine
酵母;こうぼ<br><br>yeast, leaven
醸す;かもす<br><br>to brew, to cause, to give rise to, to distill
発酵;はっこう<br><br>fermentation
醸成;じょうせい<br><br>brew, ferment, breed
醸造;じょうぞう<br><br>brewing, distillation
鎮まる;しずまる<br><br>to quiet down, to calm down, to subside, to die down
検閲;けんえつ<br><br>censor, inspect
校閲;こうえつ<br><br>revision, proofreading
鼓舞;こぶ<br><br>inspiration, encouragement
鼓;つづみ<br><br>hand drum, tsuzumi
鼓動;こどう<br><br>beat, palpitate, pulse, throb
鼓膜;こまく<br><br>eardrum
太鼓;たいこ<br><br>drum, taiko
憂い;うれい<br><br>grief, distress, sorrow
峡谷;きょうこく<br><br>ravine, gorge, canyon
弔う;とむらう<br><br>to mourn for, to hold a memorial service for, to condole
不愉快;ふゆかい<br><br>unpleasant, unhappy, discomfort, disagreeable
敢えて;あえて<br><br>dare to, presume to, daringly
借款;しゃっかん<br><br>loan, international loan
漬ける;つける<br><br>to soak, to seep, to dip in, to pickle
遮る;さえぎる<br><br>to interrupt, to intercept, to obstruct
閲覧;えつらん<br><br>browsing, perusal, reading
遊戯;ゆうぎ<br><br>game, play, sports
戯曲;ぎきょく<br><br>drama, play
淑女;しゅくじょ<br><br>lady
恩赦;おんしゃ<br><br>amnesty, pardon
殻;から<br><br>shell, husk, pod
地殻;ちかく<br><br>earth's crust
棋譜;きふ<br><br>game records
年譜;ねんぷ<br><br>chronological record
譜面;ふめん<br><br>music, musical score, sheet music
赦免;しゃめん<br><br>remission
容赦;ようしゃ<br><br>pardon, forgiveness, mercy, leniency
飽くまでも;あくまでも<br><br>to the last, to the end
鶏;にわとり<br><br>chicken
鶏肉;とりにく, けいにく<br><br>chicken meat
鶏卵;けいらん<br><br>chicken egg, hen egg
享受;きょうじゅ<br><br>enjoyment, enjoy
傑作;けっさく<br><br>masterpiece, best work
豪傑;ごうけつ<br><br>hero
不朽;ふきゅう<br><br>immortal, everlasting, eternal
解剖;かいぼう<br><br>autopsy, dissection
呆け;ぼけ<br><br>idiot, fool
嘱託;しょくたく<br><br>part time employee, temporary employee
呆気;あっけ<br><br>dumbfounded, taken aback, astonished
奔走;ほんそう<br><br>running about, efforts, activity
奔放;ほんぽう<br><br>wild, uninhibited, extravagant, rampant
媒介;ばいかい<br><br>intermediary
媒体;ばいたい<br><br>media, medium
扶養;ふよう<br><br>support, maintenance, provide for
媒酌;ばいしゃく<br><br>matchmaking
帆;ほ<br><br>sail
帆走;はんそう<br><br>sailing
弦楽器;げんがっき<br><br>stringed instrument
管弦楽;かんげんがく<br><br>orchestral music
回忌;かいき<br><br>death anniversary, anniversary of death
忌;き<br><br>mourning, mourning period
禁忌;きんき<br><br>taboo
一周忌;いっしゅうき<br><br>first anniversary of death, first death anniversary
感慨;かんがい<br><br>strong feelings, deep emotion
憤慨;ふんがい<br><br>anger, indignation, resentment
憤り;いきどおり<br><br>resentment, outrage, anger
拍子;ひょうし<br><br>tempo, time, rhythm, beat
脊椎;せきつい<br><br>spine, spinal column, backbone
窃盗;せっとう<br><br>theft, stealing
扶助;ふじょ<br><br>aid, help, support
老朽;ろうきゅう<br><br>decrepit, overage, obsolete, too old
淑やか;しとやか<br><br>graceful, modest, gentle, polite
執行猶予;しっこうゆうよ<br><br>suspended sentence
瑞々しい;みずみずしい<br><br>fresh, young, juicy, lively, vibrant
紳士協定;しんしきょうてい<br><br>gentlemen's agreement
絹糸;けんし, きぬいと<br><br>silk thread
縫目;ぬいめ<br><br>seam, stitch, suture
藩主;はんしゅ<br><br>feudal lord, daimyo
起訴猶予;きそゆうよ<br><br>suspension of indictment
硫酸;りゅうさん<br><br>sulfuric acid, sulphuric acid
絹;きぬ<br><br>silk
藩;はん<br><br>fiefdom, domain
系譜;けいふ<br><br>genealogy, pedigree, family history
金縛り;かなしばり<br><br>tied down by money, sleep paralysis, bound hand and foot, temporary paralysis
縛り首;しばりくび<br><br>hanging, death by hanging
蝶々;ちょうちょう<br><br>butterfly
楽譜;がくふ<br><br>score, sheet music
手錠;てじょう<br><br>handcuffs, manacles
更迭;こうてつ<br><br>change, switch, reshuffle, reorganization, reorganisation
晩酌;ばんしゃく<br><br>evening drink, drink with dinner
酌む;くむ<br><br>to serve, to pour
錠;じょう<br><br>lock, padlock, tablet, pill
陪審;ばいしん<br><br>jury, juror
飽き;あき<br><br>weariness, tiresomeness
養鶏;ようけい<br><br>chicken farming, poultry farming
暁;あかつき<br><br>dawn, daybreak
濁流;だくりゅう<br><br>muddy stream
朽ちる;くちる<br><br>to decay, to die out
凌ぐ;しのぐ<br><br>to endure, to keep out, to stave off
呆れ返る;あきれかえる<br><br>to be utterly amazed, to be stunned, to be amazed
触媒;しょくばい<br><br>catalyst
忌まわしい;いまわしい<br><br>unpleasant, disgusting, inauspicious, ominous
戯れる;たわむれる<br><br>to toy with, to play with, to flirt, to kid
汚濁;おだく<br><br>pollution, contamination, corruption
濁す;にごす<br><br>to make muddy, to make cloudy
肖像;しょうぞう<br><br>portrait
錠剤;じょうざい<br><br>pill, lozenge, tablet
胆;きも, たん<br><br>liver, innards, guts, courage
雌;めす<br><br>female, female animal
崇拝;すうはい<br><br>worship, adoration, admiration, cult
大胆;だいたん<br><br>bold, daring, audacious
大腸菌;だいちょうきん<br><br>e. coli, escherichia coli, e coli
一遍に;いっぺんに<br><br>at once, at one time
左遷;させん<br><br>demotion, degradation, demolish
婚姻;こんいん<br><br>marriage, matrimony
遷都;せんと<br><br>move the capital, transfer the capital, relocation of the capital
変遷;へんせん<br><br>change, transition
酪農;らくのう<br><br>dairy farming
閑散;かんさん<br><br>deserted, inactive, leisure, quiet
雌花;めばな<br><br>female flower
紡ぐ;つむぐ<br><br>to spin, to make yarn
放浪;ほうろう<br><br>wandering, roaming
浪人;ろうにん<br><br>ronin, masterless samurai, rounin
浮浪者;ふろうしゃ<br><br>vagrant, bum
漆;うるし<br><br>lacquer, varnish
漆器;しっき<br><br>lacquerware, lacquer ware
漆黒;しっこく<br><br>jet black, pitch black
漬物;つけもの<br><br>tsukemono, japanese pickled vegetables, pickled vegetables, preserved vegetables
〜漬け;づけ<br><br>pickled
漬かる;つかる<br><br>to be pickled, to be well seasoned, to be submerged, to be soaked
甚大;じんだい<br><br>immense, tremendous, enormous
甚だ;はなはだ<br><br>very, very much, greatly
親睦;しんぼく<br><br>friendship, amity, peace
暗礁;あんしょう<br><br>reef, sunken reef
環礁;かんしょう<br><br>atoll, circular coral reef
岩礁;がんしょう<br><br>reef, sunken rocks, shore reef, rock reef
禍根;かこん<br><br>root of evil, source of evil
東亜;とうあ<br><br>east asia, the orient
岬;みさき<br><br>cape
崇高;すうこう<br><br>loftiness, sublimity, nobility
流浪;るろう<br><br>vagrancy, wandering, nomadism
戦禍;せんか<br><br>war damages, ravages of war
紡績;ぼうせき<br><br>spinning, yarn spinning
魂胆;こんたん<br><br>plot, ulterior motive, secret intention, hidden purpose
萌え;もえ<br><br>sprouting, budding, crush, infatuation, moe
蔑む;さげすむ<br><br>to scorn, to despise
詠む;よむ<br><br>to compose, to recite
普遍的;ふへんてき<br><br>universal, omnipresent, ubiquitous
遮断機;しゃだんき<br><br>crossing gate, railway crossing gate, circuit breaker
侮蔑;ぶべつ<br><br>scorn, disdain, contempt, slight
侮る;あなどる<br><br>to despise, to disdain, to make light of
侮辱;ぶじょく<br><br>insult, contempt, slight
駐屯;ちゅうとん<br><br>stationed, occupancy
法曹;ほうそう<br><br>lawyer, legal profession
凹む;へこむ<br><br>to become hollow, to be dented, to sink, to collapse
卑屈;ひくつ<br><br>menial, subservient, abject
卑劣;ひれつ<br><br>mean, foul play, cowardly, base
叔父;おじ<br><br>uncle
叔母;おば<br><br>aunt
吟味;ぎんみ<br><br>scrutiny, testing, careful investigation
堪える;たえる, こたえる, こらえる<br><br>to endure, to bear, to stand, to put up with
慶事;けいじ<br><br>auspicious event, happy event
弁慶;べんけい<br><br>strong person
憧れ;あこがれ<br><br>yearning, longing, aspiration
慶祝;けいしゅく<br><br>congratulation, celebration
慶弔;けいちょう<br><br>congratulations and condolences
憂き目;うきめ<br><br>bitterness, sorrow, hardship
憧れる;あこがれる<br><br>to long for, to yearn after, to admire, to be attracted by
稚拙;ちせつ<br><br>unskillful, childish
模擬;もぎ<br><br>imitation, sham, mock, simulation
擬装;ぎそう<br><br>disguise, camouflage, masquerade
取り敢えず;とりあえず<br><br>for the time being, first of all, at once, immediately
ご無沙汰;ごぶさた<br><br>neglecting to contact, long silence
浪費;ろうひ<br><br>waste, extravagance
胆石;たんせき<br><br>gallstones
閑静;かんせい<br><br>quiet
落胆;らくたん<br><br>discouragement, despondency, dejection, disappointment
危篤;きとく<br><br>critical condition, critical illness, on the verge of death
紡織;ぼうしょく<br><br>spinning and weaving, weaving and spinning
軽蔑;けいべつ<br><br>scorn, disdain, contempt
不均衡;ふきんこう<br><br>imbalance, disparity, inequality
