#front;back
悪因悪果;あくいんあっか<br><br>evil breeds evil, evil begets evil
幻想;げんそう<br><br>fantasy, illusion
説明;せつめい<br><br>explanation
栄光;えいこう<br><br>glory
官金;かんきん<br><br>government funds, government money
薬物;やくぶつ<br><br>medicines, drugs
無知;むち<br><br>ignorance
知識;ちしき<br><br>knowledge, information
小説;しょうせつ<br><br>novel
梅酒;うめしゅ<br><br>ume wine, plum wine, plum liquor, umeshu
恋愛;れんあい<br><br>love
察知;さっち<br><br>inference, infer, sense
空席;くうせき<br><br>open seat, empty seat, free seat
交渉;こうしょう<br><br>negotiation
無力;むりょく<br><br>powerless, powerlessness, helplessness
原作;げんさく<br><br>original work
警察;けいさつ<br><br>police
右側;みぎがわ<br><br>right side
塩水;しおみず<br><br>salt water
自愛;じあい<br><br>self love, selfishness
薬方;やくほう<br><br>prescription
感覚;かんかく<br><br>senses, the senses
西側;にしがわ<br><br>west side
察する;さっする<br><br>to guess, to sense, to presume
梅;うめ<br><br>ume, japanese plum
兵;へい<br><br>soldier, army, troops
愛知県;あいちけん<br><br>aichi prefecture
側;がわ, そば<br><br>side, side of something, part
出席;しゅっせき<br><br>attendance
勝敗;しょうはい<br><br>victory or defeat
イギリス人;いぎりすじん, イギリスじん<br><br>british person, english person
願い事;ねがいごと<br><br>one's wish, prayer, wish
日常;にちじょう<br><br>everyday life, normal life, daily life, ordinary, regular, everyday, usual
虚弱;きょじゃく<br><br>weak, feeble, weakness, feebleness
愛人;あいじん<br><br>lover, mistress
結局;けっきょく<br><br>after all, eventually, in the end
失恋;しつれん<br><br>heartbreak, broken heart
鼻くそ;はなくそ<br><br>snot, boogers
原子;げんし<br><br>atom
鼻先;はなさき<br><br>tip of the nose, tip of nose, nose tip
川底;かわぞこ<br><br>riverbed, river bottom
外側;そとがわ<br><br>outside
薬学;やくがく<br><br>study of pharmacy, pharmacology, pharmaceutics
薬;くすり<br><br>medicine, drug, drugs
欠席;けっせき<br><br>absence, nonattendance
干天;かんてん<br><br>dry weather, drought
光栄;こうえい<br><br>honor, privilege
鼻歌;はなうた<br><br>humming
塩味;しおあじ<br><br>salty taste, tastes salty, salty, salty flavor
栄える;さかえる<br><br>to flourish, to prosper
愛情;あいじょう<br><br>love, affection
原因;げんいん<br><br>cause, origin, source
内側;うちがわ<br><br>inside
東側;ひがしがわ<br><br>east side
兵員;へいいん<br><br>military personnel, military strength
内因;ないいん<br><br>internal cause, actual reason
常に;つねに<br><br>ordinarily, always, usually
常識;じょうしき<br><br>common sense, common knowledge
干す;ほす<br><br>to dry
幻;まぼろし<br><br>illusion, phantom
心底;しんそこ<br><br>bottom of one's heart, bottom of my heart
建築家;けんちくか<br><br>architect
建物;たてもの<br><br>building
恋;こい<br><br>love, lust
敗れる;やぶれる<br><br>to be defeated, to be unsuccessful
失敗;しっぱい<br><br>failure, mistake
敗者;はいしゃ<br><br>loser, the defeated
無休;むきゅう<br><br>no holidays, always open
無事;ぶじ<br><br>safe and sound, safe
無料;むりょう<br><br>free, without charge
紀元前;きげんぜん<br><br>before christ, bc, bce, before common era
細い;ほそい<br><br>thin, slender
薬用;やくよう<br><br>medicinal
虚栄心;きょえいしん<br><br>vanity
自覚;じかく<br><br>consciousness, awareness, realization
図説;ずせつ<br><br>illustration, explanatory diagram
朝ご飯;あさごはん<br><br>breakfast
鼻血;はなぢ, はなじ<br><br>nosebleed, bloody nose
不味い;まずい<br><br>bad tasting, unappetizing, unskillful
勇む;いさむ<br><br>to be encouraged, to be lively, to be in high spirits, to cheer up, to be excited, to be inspired
無し;なし<br><br>without, with no
昼ご飯;ひるごはん<br><br>lunch
晩ご飯;ばんごはん<br><br>dinner, supper
変わる;かわる<br><br>to be changed, to be transformed, to be altered, to vary, to be turned
無言;むごん<br><br>silence
米兵;べいへい<br><br>us soldier, american soldier
完結;かんけつ<br><br>conclusion, completion, ending, consummation
愛する;あいする<br><br>to love
相変わらず;あいかわらず<br><br>as usual, as ever, the same, as before
伝説;でんせつ<br><br>legend
建前;たてまえ<br><br>public behavior, public behaviour, official stance, public position, public face, tatemae
果てる;はてる<br><br>to end, to be finished, to be exhausted, to die
一昨日;おととい, いっさくじつ<br><br>day before last, day before yesterday
虚しい;むなしい<br><br>empty, vacant, futile, vain
禅僧;ぜんそう<br><br>zen priest
書き方;かきかた<br><br>penmanship, way of writing, manner of writing
座る;すわる<br><br>to sit
〜達;たち<br><br>pluralizing suffix
夕焼け;ゆうやけ<br><br>sunset
公告;こうこく<br><br>public notice, public announcement
お笑い;おわらい<br><br>comedian, comical thing, comical, funny
落書き;らくがき<br><br>graffiti, scribble, sketch
達人;たつじん<br><br>master, expert
報道;ほうどう<br><br>news report
祈念;きねん<br><br>prayer, a prayer
切り取る;きりとる<br><br>to cut off, to cut out
黒煙;こくえん<br><br>black smoke
保持する;ほじする<br><br>to maintain, to preserve
枚数;まいすう<br><br>number of sheets, number of flat objects
達する;たっする<br><br>to attain, to reach, to get to, to arrive at
予告;よこく<br><br>advance notice, forward notice, prior notice
報告;ほうこく<br><br>report, information
借りる;かりる<br><br>to borrow
弓道;きゅうどう<br><br>archery, kyudo, kyuudou
訓読み;くんよみ<br><br>kun'yomi, kun reading, japanese reading
笑い;わらい<br><br>a laugh, laugh
弓;ゆみ<br><br>bow
脳死;のうし<br><br>brain death, brain dead
洗車;せんしゃ<br><br>car wash
借用;しゃくよう<br><br>borrowing, loan
脳;のう<br><br>brain
脳みそ;のうみそ<br><br>brains, gray matter
洗脳;せんのう<br><br>brainwashing
分類;ぶんるい<br><br>classification
上品;じょうひん<br><br>elegant
借金;しゃっきん<br><br>debt
等号;とうごう<br><br>equal sign, equals sign
留学生;りゅうがくせい<br><br>exchange student
体験;たいけん<br><br>experience
書き入れる;かきいれる<br><br>to write in, to fill in
五枚;ごまい<br><br>five flat objects, five sheets
不可欠;ふかけつ<br><br>indispensable, essential
不等;ふとう<br><br>inequality, disparity
汽船;きせん<br><br>steam ship, steam boat
日曜日;にちようび<br><br>sunday
取り出す;とりだす<br><br>to pick out, to take out, to retrieve
水曜日;すいようび<br><br>wednesday
人種;じんしゅ<br><br>race of people, race
喫煙;きつえん<br><br>smoking
僧院;そういん<br><br>temple, monastery
可能;かのう<br><br>possible
静止;せいし<br><br>still, standstill, at rest, stationary
配達する;はいたつする<br><br>to deliver
忘れる;わすれる<br><br>to forget
訓練;くんれん<br><br>training
報じる;ほうじる<br><br>to report on
試みる;こころみる<br><br>to try, to attempt
日焼け;ひやけ<br><br>sunburn
胸;むね<br><br>chest, breasts
静か;しずか<br><br>quiet
土曜日;どようび<br><br>saturday
禁句;きんく<br><br>taboo word, taboo phrase, dirty word, bad word
試験;しけん<br><br>examination, test, experiment, exam
忘年会;ぼうねんかい<br><br>year end party, end of year party
焼き鳥;やきとり<br><br>roast chicken, cooked chicken, yakitori
借家;しゃくや, しゃっか<br><br>renting a house, house for rent, rented house
焼き肉;やきにく<br><br>roast meat, grilled meat, cooked meat, yakiniku
皿洗い;さらあらい<br><br>dishwashing, dishwasher, washing the dishes, washing dishes
文句;もんく<br><br>complaint
試食;ししょく<br><br>sample, taste, food sample
木曜日;もくようび<br><br>thursday
何枚;なんまい<br><br>how many flat objects, how many sheets
葉書;はがき<br><br>postcard
関西弁;かんさいべん<br><br>kansai dialect
教訓;きょうくん<br><br>lesson, moral
辞書形;じしょけい<br><br>dictionary form
試合;しあい<br><br>game, match
〜枚;まい<br><br>flat object, clothing items, sheets
可分;かぶん<br><br>divisible, separable
座席;ざせき<br><br>seat
証明書;しょうめいしょ<br><br>certificate, credentials
取り分け;とりわけ<br><br>especially
予報;よほう<br><br>forecast
情報;じょうほう<br><br>information, data
大阪弁;おおさかべん<br><br>osaka dialect
汽車;きしゃ<br><br>steam train, steam engine train, steam engine
許す;ゆるす<br><br>to permit, to forgive, to allow
取れる;とれる<br><br>to come off, to be removed, to fall off
受験;じゅけん<br><br>take an exam, take an examination, take a test, taking an exam, taking an examination, taking a test
親類;しんるい<br><br>relatives
祈願;きがん<br><br>prayer, a prayer
私大;しだい<br><br>private college, private university, private uni
取材;しゅざい<br><br>covering an event, collecting data, data collection
正座;せいざ<br><br>seiza, traditional japanese sitting
仏僧;ぶっそう<br><br>buddhist priest
取決め;とりきめ<br><br>arrangement, agreement
可愛い;かわいい<br><br>cute
許可;きょか<br><br>permission
告白;こくはく<br><br>confession
告げる;つげる<br><br>to announce, to tell
喫茶店;きっさてん<br><br>tea house, cafe, coffee house, coffee shop
お守り;おまもり<br><br>charm, amulet
留守番;るすばん<br><br>caretaker, housesitting, looking after one's house
座禅;ざぜん<br><br>zen meditation
銀座;ぎんざ<br><br>ginza
駅弁;えきべん<br><br>train station bento, station bento
金曜日;きんようび<br><br>friday
月曜日;げつようび<br><br>monday
火曜日;かようび<br><br>tuesday
下書き;したがき<br><br>rough draft
書き直す;かきなおす<br><br>to rewrite
洗う;あらう<br><br>to wash
洗練;せんれん<br><br>refinement, polish
煙;けむり<br><br>smoke
祈る;いのる<br><br>to pray
禁煙;きんえん<br><br>no smoking
禁止;きんし<br><br>forbidden, prohibition, ban
等しい;ひとしい<br><br>equal, similar, equivalent
一等;いっとう<br><br>first class, first rank, the best
手荷物;てにもつ<br><br>hand baggage, hand luggage, cabin baggage, carry on
試す;ためす<br><br>to attempt, to try out, to test, to test the limits, to try
友達;ともだち<br><br>friend, companion
伝達;でんたつ<br><br>transmission, transmit, convey
平静;へいせい<br><br>calm, serene, tranquil
書類;しょるい<br><br>document
人類;じんるい<br><br>mankind, race of people, humanity, humankind
種類;しゅるい<br><br>kind, type
実験;じっけん<br><br>experiment
大丈夫;だいじょうぶ<br><br>safe, all right, okay
警告;けいこく<br><br>warning, advice, caution
広告;こうこく<br><br>advertisement, ad, advert
幸い;さいわい<br><br>happiness, luck, fortune
喜び;よろこび<br><br>joy, delight, glee, rapture, pleasure, satisfaction, gratification, rejoicing, congratulations
固まる;かたまる<br><br>to harden, to solidify, to become firm, to become certain
禅寺;ぜんでら, ぜんじ<br><br>zen temple
子守歌;こもりうた<br><br>lullaby
高等;こうとう<br><br>high class, high grade
対等;たいとう<br><br>equality, equal
禁じる;きんじる<br><br>to prohibit
焼く;やく<br><br>to bake, to cook, to burn
猫舌;ねこじた<br><br>aversion to hot foods
順位;じゅんい<br><br>ranking, standing
細かい;こまかい<br><br>detailed, small, fine, trivial
易しい;やさしい<br><br>easy, simple to do
暴れる;あばれる<br><br>to act violently, to rage
二枚舌;にまいじた<br><br>forked tongue
続く;つづく<br><br>to continue
絡む;からむ<br><br>to get entangled, to be entangled
三冊;さんさつ<br><br>three books, three volumes
若者;わかもの<br><br>young person
一冊;いっさつ<br><br>one book, one volume
〜冊;さつ<br><br>books counter, counter for books, books
得;とく<br><br>benefit, profit, advantage, gain
布;ぬの<br><br>cloth, fabric
善悪;ぜんあく<br><br>good and evil
季節;きせつ<br><br>season
毛布;もうふ<br><br>blanket
入団;にゅうだん<br><br>join, enlist, enrollment, enlistment
容疑;ようぎ<br><br>suspicion, suspect
覚える;おぼえる<br><br>to memorize, to remember, to memorise, to learn, to pick up
歴史;れきし<br><br>history
容易;ようい<br><br>ease, easily, easy, simple
多忙;たぼう<br><br>busy, pressure of work
若い;わかい<br><br>young
借財;しゃくざい<br><br>debt
数詞;すうし<br><br>numeral, number word
席順;せきじゅん<br><br>seating order
集団;しゅうだん<br><br>group, crowd
年代順;ねんだいじゅん<br><br>chronological order
順番;じゅんばん<br><br>order, one's turn
舌;した<br><br>tongue
汽笛;きてき<br><br>steam whistle
形容詞;けいようし<br><br>adjective
加える;くわえる<br><br>to add
混乱;こんらん<br><br>confusion
内容;ないよう<br><br>contents
対比;たいひ<br><br>contrast, comparison
非常に;ひじょうに<br><br>very, extremely, exceedingly
助詞;じょし<br><br>grammar particle, particle, postposition
自動詞;じどうし<br><br>intransitive verb
名詞;めいし<br><br>noun
原子力;げんしりょく<br><br>nuclear power, nuclear energy, atomic power, atomic energy
節句;せっく<br><br>seasonal festival
改善;かいぜん<br><br>improvement, betterment
改正;かいせい<br><br>revision
暴走;ぼうそう<br><br>run wild, run out of control
私財;しざい<br><br>private funds, own funds, private property, personal funds
困る;こまる<br><br>to be distressed, to be troubled
財布;さいふ<br><br>wallet, purse, handbag
動詞;どうし<br><br>verb
暴力;ぼうりょく<br><br>violence, force
減法;げんぽう<br><br>subtraction
別冊;べっさつ<br><br>separate volume
仏徒;ぶっと<br><br>buddhist
非常口;ひじょうぐち<br><br>emergency exit
小さい順;ちいさいじゅん<br><br>increasing order, ascending order, smallest first
無意識;むいしき<br><br>unconsciously, involuntary, unconsciousness
宙;ちゅう<br><br>space, air, midair
警察署;けいさつしょ<br><br>police station
連絡する;れんらくする<br><br>to contact, to get in touch, to get in contact
説明書;せつめいしょ<br><br>written explanation, instructions
八冊;はっさつ<br><br>eight books, eight volumes
続々;ぞくぞく<br><br>one after another, successively, in succession
品詞;ひんし<br><br>part of speech
混ぜる;まぜる<br><br>to mix, to mix something, to stir, to stir something, to blend, to blend something
乱戦;らんせん<br><br>melee, free for all
