#front;back
撮影禁止;さつえいきんし<br><br>no photos, no photos allowed
背中;せなか<br><br>one's back, back
恩人;おんじん<br><br>benefactor
桜んぼ;さくらんぼ<br><br>cherry
銭;ぜに<br><br>coin
桜;さくら<br><br>sakura, cherry tree
購読する;こうどくする<br><br>to subscribe
採決;さいけつ<br><br>voting
先祖;せんぞ<br><br>ancestors, one's ancestors
複雑;ふくざつ<br><br>complicated, complex
液体;えきたい<br><br>liquid
序文;じょぶん<br><br>preface
意志;いし<br><br>will, volition
食欲;しょくよく<br><br>appetite
便秘;べんぴ<br><br>constipation
英訳;えいやく<br><br>english translation
秘密;ひみつ<br><br>secret, a secret
厳しい;きびしい<br><br>strict
訳語;やくご<br><br>translated term
ゆで卵;ゆでたまご<br><br>boiled egg
肉欲;にくよく<br><br>carnal desires
汚水;おすい<br><br>dirty water, filthy water, sewage
傷心;しょうしん<br><br>heartbreak
和訳;わやく<br><br>japanese translation
浮かれる;うかれる<br><br>to be happy, to be in high spirits, to feel happy
越す;こす<br><br>to go beyond
延長する;えんちょうする<br><br>to prolong, to extend
密か;ひそか<br><br>secret, private
訳者;やくしゃ<br><br>translator
貧乏人;びんぼうにん<br><br>poor person
出版する;しゅっぱんする<br><br>to publish
功績;こうせき<br><br>achievement, accomplishment
訳す;やくす<br><br>to translate
暖かい;あたたかい<br><br>warm place, warm
欲求;よっきゅう<br><br>wants, desires, personal needs
飼う;かう<br><br>to keep a pet, to raise a pet, to own a pet
押入れ;おしいれ<br><br>closet, wall cubbard, wall cupboard
背丈;せたけ<br><br>stature, height
意欲;いよく<br><br>will, desire, ambition
火傷;やけど<br><br>burn, scald
今更;いまさら<br><br>too late, now
漏らす;もらす<br><br>to leak something, to leak
出版社;しゅっぱんしゃ<br><br>publishing company, publisher
照り焼き;てりやき<br><br>teriyaki
冷える;ひえる<br><br>to be chilled, to get cold
結婚する;けっこんする<br><br>to marry, to get married
大騒ぎ;おおさわぎ<br><br>clamor, uproar, big noise
志;こころざし<br><br>intention, ambition
桜色;さくらいろ<br><br>pink, pink color, pink colour, color pink, colour pink
永遠;えいえん<br><br>forever, eternity, permanence
永久;えいきゅう<br><br>forever, eternity
眼;め<br><br>eyeball
祖父;そふ<br><br>grandfather, grandpa
成績;せいせき<br><br>grades, ranking
党員;とういん<br><br>party member
自衛;じえい<br><br>self defense
衛生;えいせい<br><br>hygiene
複数;ふくすう<br><br>multiple, plural
複写;ふくしゃ<br><br>copying, duplication, copy, duplicate
雑費;ざっぴ<br><br>miscellaneous expenses
酸っぱい;すっぱい<br><br>sour
酸素;さんそ<br><br>oxygen
銭湯;せんとう<br><br>public bath
傷;きず<br><br>wound, damage
共産党;きょうさんとう<br><br>communist party
厳禁;げんきん<br><br>strictly forbidden, strictly prohibited, strict prohibition, ban
密告;みっこく<br><br>secret information
感染;かんせん<br><br>infection, contagion
伝染病;でんせんびょう<br><br>contagious disease
汚れる;よごれる<br><br>to get dirty, to get polluted, to become dirty
欲しい;ほしい<br><br>wanted, to want, desired
机;つくえ<br><br>desk
訳;わけ<br><br>reason
飾り;かざり<br><br>decoration, ornament
背が高い;せがたかい<br><br>tall
飾り気;かざりけ<br><br>showing off, affectation
火照る;ほてる<br><br>to feel hot, to flush, to burn
裏切り;うらぎり<br><br>backstab, betrayal
尊敬;そんけい<br><br>respect
蔵;くら<br><br>storehouse
皇室;こうしつ<br><br>imperial palace, imperial household
拡大;かくだい<br><br>zoom, magnification, enlargement, expansion
服装;ふくそう<br><br>attire, dress
裏;うら<br><br>backside
蒸気;じょうき<br><br>steam, vapor
変装;へんそう<br><br>disguise
雑誌;ざっし<br><br>magazine
果糖;かとう<br><br>fructose
筋肉;きんにく<br><br>muscle
操作;そうさ<br><br>operation, handling
否決;ひけつ<br><br>rejection
冷蔵庫;れいぞうこ<br><br>refrigerator, fridge
尊い;とうとい<br><br>revered, noble, precious
熟語;じゅくご<br><br>compound word, compound kanji, jukugo
