#front;back
お祝い;おいわい<br><br>congratulation, congratulations, celebration, festival, congratulatory gift
管理人;かんりにん<br><br>manager
授業;じゅぎょう<br><br>lesson, class, teaching
再来年;さらいねん<br><br>year after next
往復;おうふく<br><br>round trip
比較;ひかく<br><br>comparison
汗;あせ<br><br>sweat
汗臭い;あせくさい<br><br>sweaty smell, smell sweaty, sweaty stench
事故;じこ<br><br>accident
怪獣;かいじゅう<br><br>giant monster, kaiju
突然;とつぜん<br><br>suddenly
河;かわ<br><br>river, suffix for rivers, river suffix
豚肉;ぶたにく<br><br>pork, pig meat
故障;こしょう<br><br>malfunction, out of order
針医;はりい<br><br>acupuncturist
保障;ほしょう<br><br>guarantee, warranty, security, safeguard
気違い;きちがい<br><br>crazy
鉛;なまり<br><br>lead
鉛管;えんかん<br><br>lead pipe
間違い;まちがい<br><br>a mistake, mistake
酒造;しゅぞう<br><br>brewing, distilling
運河;うんが<br><br>canal
獣類;じゅうるい<br><br>beasts, animals
大違い;おおちがい<br><br>big difference, major mistake
名刺;めいし<br><br>business card
特徴;とくちょう<br><br>characteristic, distinctive feature
人造;じんぞう<br><br>artificial, synthetic, imitation, man made
独り;ひとり<br><br>alone
獣;けもの<br><br>beast, a beast
お菓子;おかし<br><br>candy, pastry, sweets
怪談;かいだん<br><br>ghost story
再開;さいかい<br><br>reopening
障子;しょうじ<br><br>japanese sliding door, sliding door
故意;こい<br><br>intention, premeditation, purpose, intent
燃え付く;もえつく<br><br>to catch fire, to catch on fire
創造;そうぞう<br><br>creation
激励;げきれい<br><br>encouragement
輸入;ゆにゅう<br><br>import
造園;ぞうえん<br><br>landscape gardening
読み違い;よみちがい<br><br>misreading, misread
印;しるし<br><br>seal, logo, symbol
構造;こうぞう<br><br>structure
激しい;はげしい<br><br>fierce, violent, intense
製造;せいぞう<br><br>manufacturing
再来月;さらいげつ<br><br>month after next, the month after next
届ける;とどける<br><br>to deliver
燃える;もえる<br><br>to get burned, to be burned, to burn
差し上げる;さしあげる<br><br>to give, to raise up
